"id","user_id","name","subject","message","template_type","is_predefined"
"1",NULL,"User Forgot Password","Update your {%global.companyName%} helpdesk password","    <p></p>
    <p></p>
    <p></p>
    <p></p>
    <p style=""text-align: center; "">{%global.companyLogo%}</p>
    <p style=""text-align: center; "">
        <br />
    </p>
    <p>Hi&nbsp;{%user.userName%},
        <br />
    </p>
    <p>
        <br />
    </p>
    <p>You recently requested to reset your password for your {%global.companyName%} account. Click the link to reset it&nbsp;{%user.forgotPasswordLink%}</p>
    <p>
        <br />
    </p>
    <p>If you did not request a password reset, please ignore this mail or revert back to let us know.</p>
    <div>
        <br />
    </div>
    <p>Thanks and Regards</p>
    <p>{%global.companyName%}</p>
    <p></p>
    <p></p>","user","1"
"2",NULL,"Agent Reply To The Customer's ticket","New Reply Added on ticket #{% ticket.id %}","    <p></p>
    <p></p>
    <p></p>
    <p></p>
    <p style=""text-align: center"">{%global.companyLogo%}</p>
    <p style=""text-align: center"">
        <br>
    </p>
    <p style=""text-align: center"">
        <span style=""font-size: 18px"">
            <b style=""font-weight:bold"">New Response!!</b>
        </span>
    </p>
    <span style=""font-size: 18px"">
        <b style=""font-weight:bold""> </b>
    </span>
    <p>
        <br>
    </p>
    <p></p>
    <p></p> Hello {%ticket.customerName%},
    <p></p>
    <p></p>
    <p>
        <span style=""line-height: 1.42857"">
            <br>
        </span>
    </p>
    <p>
        <span style=""line-height: 1.42857"">A reply has been added by the </span>{%ticket.agentName%} on your ticket {%ticket.id%}. Kindly follow this link {%ticket.customerLink%}
        to get the insight of the message.
        <span style=""line-height: 1.42857""> </span>
    </p>
    <p>
        <span style=""line-height: 1.42857"">
            <br>
        </span>
    </p>
    <p>
        <span style=""line-height: 1.42857"">Here go the ticket message:</span>
    </p>
    <p>{%ticket.threadMessage%}{%ticket.attachments%}
        <br>
    </p>
    <p></p>
    <p></p>
    <p>
        <br>
    </p>
    <p></p>
    <p>Thanks and Regards</p>
    <p>{%global.companyName%}
        <br>
    </p>
    <br>
    <p></p>
    <p></p>
    <p></p>
    <p></p>
    <p></p>","ticket","1"
"3",NULL,"Ticket generated by customer","A new ticket #{%ticket.id%} has been generated by {%ticket.customerName%}","<p></p>
<p></p>
<p style=""text-align: center; "">{%global.companyLogo%}</p>
<p style=""text-align: center; "">
    <br />
</p>
<p style=""text-align: center; "">
    <b>
        <span style=""font-size: 18px;"">Ticket generated!!</span>
    </b>
</p>
<br />Hello {%ticket.agentName%},
<p></p>
<p>
    <br />
</p>
<p>A new ticket {%ticket.id%} has been generated by {%ticket.customerName%} from the id {%ticket.customerEmail%}. Hit on the link provided so that you can have the access to the ticket {%ticket.agentLink%}.</p>
<p>
    <br />
</p>
<p>Here goes the ticket message:</p>
<p>{%ticket.threadMessage%}
   {%ticket.attachments%}
    <br />
</p>
<p>
    <br />
</p>
<p>
    <br />
</p> Thanks and Regards
<p></p>
<p>{%global.companyName%}
    <br />
</p>
<p></p>
<p></p>","ticket","1"
"4",NULL,"Agent Account Created","Welcome to {%global.companyName%} Helpdesk Support System","    <p></p>
    <p></p>
    <p></p>
    <p style=""text-align: center; "">{%global.companyLogo%}</p>
    <p style=""text-align: center; "">
        <span style=""font-size: 18px;"">
            <b>Thank you for joining!!</b>
        </span>
    </p>
    <p style=""text-align: center; "">
        <i>
            <br />
        </i>
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">Hello&nbsp;{%user.userName%},</p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">
        <br />
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">Your account has been successfully created.</p>
    <p style=""margin-bottom: 0cm; line-height: 100%""
        align=""left"">
        <br />
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">
        <span style=""line-height: 100%;"">Click on the link to set your password </span>{%user.accountValidationLink%}
        <span style=""line-height: 100%;"">&nbsp;and get started with the </span>{%global.companyName%}
        <span style=""line-height: 100%;"">&nbsp;services.</span>
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">
        <span style=""line-height: 100%;"">
            <br />
        </span>
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">Thanks and Regards
        <br />
    </p>
    <p>{%global.companyName%}</p>
    <p>
        <br />
    </p>
    <p></p>","user","1"
"5",NULL,"Ticket Assign","Ticket #{% ticket.id %} assign to you","    <p></p>
    <p style=""text-align: center;"">{%global.companyLogo%}</p>
    <p style=""text-align: center;"">
        <br />
    </p>
    <p style=""text-align: center;"">
        <b>
            <span style=""font-size: 18px;"">Ticket assigned- Get ready!!</span>
        </b>
    </p>
    <p style=""text-align: center; "">
        <br />
    </p> Hello&nbsp;{%ticket.agentName%},
    <br />
    <br />
    <p></p>
    <p>A ticket&nbsp;{%ticket.id%} has been assigned to you. You are requested to follow this link&nbsp;{%ticket.agentLink%} to get the
        access of the ticket.</p>
    <p>
        <br />
    </p>
    <p>Here go the ticket message:</p>
    <p>{%ticket.message%}
        <br />
    </p>
    <p>
        <br />
    </p>
    <p>Thanks and Regards</p>
    <p>{%global.companyName%}
        <br />
    </p>
    <p></p>
    <p>
        <br />
    </p>
    <p></p>
    <p>
        <br />
    </p>
    <p></p>
    <p></p>
    <p></p>
    <p></p>","ticket","1"
"6",NULL,"Customer Reply To The Agent","Customer Reply Ticket #{% ticket.id %}","    <p></p>
    <p></p>
    <p style=""text-align: center; "">{%global.companyLogo%}</p>
    <p style=""text-align: center; "">
        <br />
    </p>
    <p style=""text-align: center; "">
        <b>
            <span style=""font-size: 18px;"">New Response!!</span>
        </b>
    </p>
    <p style=""text-align: center; "">
        <b>
            <span style=""font-size: 18px;"">
                <br />
            </span>
        </b>
    </p> Hello {%ticket.agentName%},</p>
    <p></p>
    <p>
        <br />
    </p>
    <p></p>
    <p></p>
    <p>
        <span style=""line-height: 1.42857143;"">New reply have been added to ticket #{%ticket.id%} you can login to ticket system through this link&nbsp;{%ticket.agentLink%}.</span>
    </p>
    <p>
        <span style=""line-height: 1.42857143;"">&nbsp;</span>
    </p>
    <p>
        <span style=""line-height: 1.42857143;"">Customer reply:
            <br />
        </span>{%ticket.threadMessage%}{%ticket.attachments%}</p>
    <p>
        <br />
    </p>
    <p>Thanks and Regards</p>
    <p>{%global.companyName%}
        <br />
    </p>
    <p>
        <br />
    </p>
    <p></p>","ticket","1"
"7",NULL,"Ticket generated success mail to customer","New ticket #{% ticket.id %} Received","<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p style=""text-align: center;"">{%global.companyLogo%}</p>
<p style=""text-align: center;"">
    <br />
</p>
<p style=""text-align: center;"">
    <b>
        <span style=""font-size: 18px;"">Ticket generated!!</span>
    </b>
</p>
<p style=""text-align: center; "">
    <br />
</p>
<br />
<p></p>
<p>Hello&nbsp;{%ticket.customerName%},</p>
<p>
    <br />
</p>
<p></p>
<p>Thank you so much for taking the time to connect us!</p>
<p>
    <br />
</p>
<p>Your ticket #{%ticket.id%} has been received. You can check ticket through this link {%ticket.customerLink%} and you can also reply via this email.</p>
<p>
<p>
    <br />
</p>
<p>Our support staff will get back to you shortly (it might take a bit longer on evenings and weekends). Feel free to ask for any support request we will be happy to help.</p>
<p>
<span style=""line-height: 1.42857143;"">
</p>
<p>Here go the ticket message:</p>
<p>{%ticket.threadMessage%}
   {%ticket.attachments%}
    <br />
</p>
<p>
    <br />
</p>
<p>Thanks and Regards</p>
<p>{%global.companyName%}
    <br />
</p>
<br />
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>","ticket","1"
"8",NULL,"Customer Account Created","Welcome to {%global.companyName%} Helpdesk","    <p></p>
    <p></p>
    <p></p>
    <p style=""text-align: center; "">{%global.companyLogo%}</p>
    <p style=""text-align: center; "">
        <br />
    </p>
    <p style=""text-align: center; "">
        <span style=""font-size: 18px;"">
            <b>Thank you for joining!!</b>
        </span>
    </p>
    <p style=""text-align: center; "">
        <i>
            <br />
        </i>
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">Hello&nbsp;{%user.userName%},</p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">
        <br />
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">Your account has been successfully created. We welcome&nbsp;you to the community of&nbsp;{%global.companyName%}.</p>
    <p style=""margin-bottom: 0cm; line-height: 100%""
        align=""left"">
        <br />
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">It is our privilege to have you as our customer. We are pretty much sure that you will love the fact that how simple it is
        to get started with the services. We are dedicated to making your working life simpler.</p>
    <p style=""margin-bottom: 0cm; line-height: 100%""
        align=""left"">
        <br />
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">
        <span style=""line-height: 100%;"">Click on the link to set your password </span>{%user.accountValidationLink%}
        <span style=""line-height: 100%;"">&nbsp;and get started with the </span>{%global.companyName%}
        <span style=""line-height: 100%;"">&nbsp;services.</span>
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">
        <span style=""line-height: 100%;"">
            <br />
        </span>
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">Hoping that you will enjoy this experience.</p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">
        <br />
    </p>
    <p style=""margin-bottom: 0cm; line-height: 100%"" align=""left"">Thanks and Regards
        <br />
    </p>
    <p>{%global.companyName%}</p>
    <p>
        <br />
    </p>
    <p></p>","user","1"
"9",NULL,"Collaborator added to ticket","A new Collaborator have been added","    <p>&nbsp;</p>
    <p>&nbsp;</p>
    <p>&nbsp;</p>
    <p style=""text-align: center;"">{%global.companyLogo%}</p>
    <p style=""text-align: center;"">&nbsp;</p>
    <p style=""text-align: center;""><span style=""font-size: 18px;""> <strong>Thank you for joining!!</strong> </span></p>
    <p style=""text-align: center;""><em> <br /> </em></p>
    <p style=""margin-bottom: 0cm; line-height: 100%;"" align=""left"">Hello {%ticket.collaboratorName%},</p>
    <p style=""margin-bottom: 0cm; line-height: 100%;"" align=""left"">&nbsp;</p>
    <p>&nbsp;</p>
    <p>Collaborator of the ticket #{%ticket.id%} has added a reply. You can check the ticket from here {%ticket.customerLink%}</p>
    <p>&nbsp;</p>
    <p>Here go the message:</p>
    <p>{%ticket.threadMessage%}</p>
    <p>&nbsp;</p>
    <p>Thanks and Regards</p>
    <p>{%global.companyName%}</p>
    <p>&nbsp;</p>
    <p>&nbsp;</p>
    <p>&nbsp;</p>","ticket","1"
"10",NULL,"Collaborator Reply To The Agent","Collaborator Reply Ticket #{% ticket.id %}","    <p>&nbsp;</p>
    <p>&nbsp;</p>
    <p style=""text-align: center;"">{%global.companyLogo%}</p>
    <p style=""text-align: center;"">&nbsp;</p>
    <p style=""text-align: center;""><strong> <span style=""font-size: 18px;"">New Response!!</span> </strong></p>
    <p style=""text-align: center;""><strong> <span style=""font-size: 18px;""> <br /> </span> </strong></p>
    <p>Hello {%ticket.agentName%},</p>
    <p>&nbsp;</p>
    <p>Collaborator of the ticket #{%ticket.id%} has added a reply. You can check the ticket from here&nbsp;{%ticket.agentLink%}.</p>
    <p>&nbsp;</p>
    <p>Here go the message:</p>
    <p>{%ticket.threadMessage%}{%ticket.attachments%}</p>
    <p>&nbsp;</p>
    <p>Thanks and Regards</p>
    <p>{%global.companyName%}</p>
    <p>&nbsp;</p>","ticket","1"
"11",NULL,"Collaborator Reply To The Customer","Collaborator Reply Ticket #{% ticket.id %}","    <p>&nbsp;</p>
    <p>&nbsp;</p>
    <p style=""text-align: center;"">{%global.companyLogo%}</p>
    <p style=""text-align: center;"">&nbsp;</p>
    <p style=""text-align: center;""><strong> <span style=""font-size: 18px;"">New Response!!</span> </strong></p>
    <p style=""text-align: center;""><strong> <span style=""font-size: 18px;""> <br /> </span> </strong></p>
    <p>Hello {%ticket.agentName%},</p>
    <p>&nbsp;</p>
    <p>Collaborator of the ticket #{%ticket.id%} has added a reply. You can check the ticket from here&nbsp;{%ticket.customerLink%}.</p>
    <p>&nbsp;</p>
    <p>Here go the message:</p>
    <p>{%ticket.threadMessage%}{%ticket.attachments%}</p>
    <p>&nbsp;</p>
    <p>Thanks and Regards</p>
    <p>{%global.companyName%}</p>
    <p>&nbsp;</p>","ticket","1"
